id,brand_code,canonical_name,normalized_name,english_name,country_code,category,description,status,created_at,updated_at
,BRAND_MY_DEEP_BLUE_MEMORIES,마이딥블루메모리즈,마이딥블루메모리즈,MY DEEP BLUE MEMORIES,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MICHAEL_KORS,마이클 코어스,마이클 코어스,MICHAEL KORS,,해외 럭셔리·컨템포러리,무신사 미확인,ACTIVE,,
,BRAND_MILEZ,마일즈,마일즈,MILEZ,,아웃도어,,ACTIVE,,
,BRAND_MAXZA,마쟈,마쟈,MAXZA,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MA_JOURNEE,마조네,마조네,MA JOURNEE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MARKET,마켓,마켓,MARKET,,글로벌 스포츠·캐주얼,,ACTIVE,,
,BRAND_MARK_GONZALES,마크곤잘레스,마크곤잘레스,MARK GONZALES,,글로벌 스포츠·캐주얼,,ACTIVE,,
,BRAND_MAC_MOC,마크모크,마크모크,MAC MOC,,신발·스니커즈,,ACTIVE,,
,BRAND_MARK_AND_LONA,마크앤로나,마크앤로나,MARK&LONA,,골프·스포츠라이프,신발겸업,ACTIVE,,
,BRAND_MARKM,마크엠,마크엠,MARKM,,국내 캐주얼·스트릿,신발겸업,ACTIVE,,
,BRAND_MARTINE_GOLF,마틴골프,마틴골프,MARTINE GOLF,,골프·스포츠라이프,,ACTIVE,,
,BRAND_MAHAGRID,마하그리드,마하그리드,MAHAGRID,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MAXMARA,막스마라,막스마라,MAXMARA,,글로벌 스포츠·캐주얼,,ACTIVE,,
,BRAND_MAN_G,만지,만지,MAN.G,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MALEN,말렌,말렌,MALEN,,국내 캐주얼·스트릿,신발겸업,ACTIVE,,
,BRAND_MALIBU_SANDALS,말리부 샌들,말리부 샌들,MALIBU SANDALS,,신발·스니커즈,,ACTIVE,,
,BRAND_MALBON_GOLF,말본 골프,말본 골프,MALBON GOLF,,골프·스포츠라이프,,ACTIVE,,
,BRAND_MANGO_MANY_PLEASE,망고매니플리즈,망고매니플리즈,MANGO MANY PLEASE,,국내 캐주얼·스트릿,신발겸업,ACTIVE,,
,BRAND_MANIAMASS,매니아매스,매니아매스,MANIAMASS,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MADMARS,매드마르스,매드마르스,MADMARS,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MADPINK,매드핑크,매드핑크,MADPINK,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MADDEN,매든,매든,MADDEN,,아웃도어,,ACTIVE,,
,BRAND_MAVRK,매버릭,매버릭,MAVRK,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MAC_9_C,맥나인도씨,맥나인도씨,MAC 9ºC,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MACCULL,맥컬,맥컬,MACCULL,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MACKY,맥키,맥키,MACKY,,골프·스포츠라이프,,ACTIVE,,
